seed,node_id,x,y,energy,node_type,sink_distance,neighbors,coverage_contribution,overlap_ratio,node_density,ann_prediction,final_state
42,42,31.1,32.52,0.5,normal,118.99,14,0.0123,0.9877,1.1141,SLEEP,ACTIVE
42,43,72.96,63.76,0.5,normal,89.25,12,0.0,1.0,0.9549,SLEEP,ACTIVE
42,44,88.72,47.22,0.5,normal,109.83,8,0.0864,0.9136,0.6366,SLEEP,ACTIVE
42,45,11.96,71.32,0.5,normal,87.39,10,0.0779,0.9221,0.7958,SLEEP,ACTIVE
42,46,76.08,56.13,0.5,normal,97.43,13,0.0,1.0,1.0345,SLEEP,SLEEP
42,47,77.1,49.38,0.5,normal,104.21,13,0.0,1.0,1.0345,SLEEP,ACTIVE
42,48,52.27,42.75,0.5,normal,107.27,8,0.4177,0.5823,0.6366,ACTIVE,ACTIVE
42,49,2.54,10.79,0.5,normal,147.08,4,0.4655,0.5345,0.3183,ACTIVE,ACTIVE
42,50,3.14,63.64,0.5,normal,98.25,7,0.0339,0.9661,0.557,SLEEP,ACTIVE
42,51,31.44,50.86,0.5,normal,100.87,13,0.0123,0.9877,1.0345,SLEEP,ACTIVE
42,52,90.76,24.93,0.5,normal,131.54,9,0.0,1.0,0.7162,SLEEP,ACTIVE
42,53,41.04,75.56,0.5,normal,74.98,8,0.1026,0.8974,0.6366,SLEEP,ACTIVE
42,54,22.88,7.7,0.5,normal,144.86,11,0.0779,0.9221,0.8754,SLEEP,ACTIVE
42,55,28.98,16.12,0.5,normal,135.52,15,0.0,1.0,1.1937,SLEEP,SLEEP
42,56,92.97,80.81,0.5,normal,81.45,9,0.0,1.0,0.7162,SLEEP,SLEEP
42,57,63.34,87.15,0.5,normal,64.25,8,0.038,0.962,0.6366,SLEEP,SLEEP
42,58,80.37,18.66,0.5,normal,134.81,13,0.0,1.0,1.0345,SLEEP,SLEEP
42,59,89.26,53.93,0.5,normal,103.78,9,0.039,0.961,0.7162,SLEEP,SLEEP
42,60,80.74,89.61,0.5,normal,67.77,10,0.075,0.925,0.7958,SLEEP,ACTIVE
42,61,31.8,11.01,0.5,normal,140.18,12,0.0,1.0,0.9549,SLEEP,ACTIVE
42,62,22.79,42.71,0.5,normal,110.69,11,0.0,1.0,0.8754,SLEEP,SLEEP
42,63,81.8,86.07,0.5,normal,71.4,11,0.0,1.0,0.8754,SLEEP,SLEEP
42,64,0.7,51.07,0.5,normal,110.53,6,0.1458,0.8542,0.4775,ACTIVE,ACTIVE
42,65,41.74,22.21,0.5,normal,128.06,17,0.0,1.0,1.3528,SLEEP,SLEEP
42,66,11.99,33.76,0.5,normal,122.3,11,0.1039,0.8961,0.8754,SLEEP,ACTIVE
42,67,94.29,32.32,0.5,normal,125.74,9,0.1594,0.8406,0.7162,ACTIVE,ACTIVE
42,68,51.88,70.3,0.5,normal,79.72,6,0.1429,0.8571,0.4775,ACTIVE,ACTIVE
42,69,36.36,97.18,0.5,normal,54.55,1,0.0172,0.9828,0.0796,SLEEP,SLEEP
42,70,96.24,25.18,0.5,normal,133.11,9,0.0,1.0,0.7162,SLEEP,SLEEP
42,71,49.72,30.09,0.5,normal,119.91,12,0.013,0.987,0.9549,SLEEP,SLEEP
42,72,28.48,3.69,0.5,normal,147.88,10,0.0,1.0,0.7958,SLEEP,SLEEP
42,73,60.96,50.27,0.5,normal,100.33,8,0.0127,0.9873,0.6366,SLEEP,SLEEP
42,74,5.15,27.86,0.5,normal,130.11,6,0.0,1.0,0.4775,SLEEP,SLEEP
42,75,90.83,23.96,0.5,normal,132.49,9,0.0,1.0,0.7162,SLEEP,SLEEP
42,76,14.49,48.95,0.5,normal,107.11,13,0.0,1.0,1.0345,SLEEP,SLEEP
42,77,98.57,24.21,0.5,normal,134.84,8,0.0,1.0,0.6366,SLEEP,SLEEP
42,78,67.21,76.16,0.5,normal,75.82,10,0.0,1.0,0.7958,SLEEP,ACTIVE
42,79,23.76,72.82,0.5,normal,81.52,8,0.1266,0.8734,0.6366,SLEEP,ACTIVE
42,80,36.78,63.23,0.5,normal,87.77,10,0.2716,0.7284,0.7958,ACTIVE,ACTIVE
42,81,63.35,53.58,0.5,normal,97.34,10,0.0253,0.9747,0.7958,SLEEP,ACTIVE
42,82,9.03,83.53,0.5,normal,78.08,10,0.0,1.0,0.7958,SLEEP,SLEEP
42,83,32.08,18.65,0.5,normal,132.57,17,0.0,1.0,1.3528,SLEEP,SLEEP
42,84,4.08,59.09,0.5,normal,101.85,6,0.0152,0.9848,0.4775,SLEEP,SLEEP
42,85,67.76,1.66,0.5,normal,149.4,5,0.02,0.98,0.3979,SLEEP,SLEEP
42,86,51.21,22.65,0.5,normal,127.36,12,0.0,1.0,0.9549,SLEEP,ACTIVE
42,87,64.52,17.44,0.5,normal,133.36,12,0.038,0.962,0.9549,SLEEP,ACTIVE
42,88,69.09,38.67,0.5,normal,112.95,7,0.2405,0.7595,0.557,ACTIVE,ACTIVE
42,89,93.67,13.75,0.5,normal,143.08,9,0.4722,0.5278,0.7162,ACTIVE,ACTIVE
42,90,34.11,11.35,0.5,normal,139.56,13,0.0,1.0,1.0345,SLEEP,SLEEP
42,91,92.47,87.73,0.5,normal,75.37,8,0.0,1.0,0.6366,SLEEP,SLEEP
42,92,25.79,66.0,0.5,normal,87.42,11,0.0,1.0,0.8754,SLEEP,SLEEP
42,93,81.72,55.52,0.5,normal,99.66,11,0.0,1.0,0.8754,SLEEP,SLEEP
42,94,52.97,24.19,0.5,normal,125.85,10,0.0375,0.9625,0.7958,SLEEP,ACTIVE
42,95,9.31,89.72,0.5,normal,72.73,9,0.0385,0.9615,0.7162,SLEEP,SLEEP
42,96,90.04,63.31,0.5,normal,95.49,12,0.0779,0.9221,0.9549,SLEEP,ACTIVE
42,97,33.9,34.92,0.5,normal,116.2,13,0.05,0.95,1.0345,SLEEP,ACTIVE
42,98,72.6,89.71,0.5,normal,64.38,8,0.0769,0.9231,0.6366,SLEEP,ACTIVE
42,99,88.71,77.99,0.5,normal,81.76,11,0.0658,0.9342,0.8754,SLEEP,ACTIVE
123,0,69.65,28.61,1.5,super,122.97,12,0.1266,0.8734,0.9549,SLEEP,ACTIVE
123,1,22.69,55.13,1.5,super,98.72,14,0.0,1.0,1.1141,SLEEP,SLEEP
123,2,71.95,42.31,1.5,super,109.9,14,0.0,1.0,1.1141,SLEEP,ACTIVE
123,3,98.08,68.48,1.5,super,94.64,6,0.434,0.566,0.4775,ACTIVE,ACTIVE
123,4,48.09,39.21,1.5,super,110.8,13,0.0,1.0,1.0345,SLEEP,ACTIVE
123,5,34.32,72.9,1.5,super,78.67,20,0.0,1.0,1.5915,SLEEP,ACTIVE
123,6,43.86,5.97,1.5,super,144.16,8,0.0735,0.9265,0.6366,SLEEP,ACTIVE
123,7,39.8,73.8,1.5,super,76.88,18,0.0,1.0,1.4324,SLEEP,SLEEP
123,8,18.25,17.55,1.5,super,136.21,6,0.359,0.641,0.4775,ACTIVE,ACTIVE
123,9,53.16,53.18,1.5,super,96.87,15,0.0,1.0,1.1937,SLEEP,SLEEP
123,10,63.44,84.94,1.0,advanced,66.43,9,0.0,1.0,0.7162,SLEEP,ACTIVE
123,11,72.45,61.1,1.0,advanced,91.69,11,0.0625,0.9375,0.8754,SLEEP,ACTIVE
123,12,72.24,32.3,1.0,advanced,119.79,9,0.0,1.0,0.7162,SLEEP,SLEEP
123,13,36.18,22.83,1.0,advanced,127.92,13,0.1013,0.8987,1.0345,SLEEP,ACTIVE
123,14,29.37,63.1,1.0,advanced,89.32,18,0.0,1.0,1.4324,SLEEP,ACTIVE
123,15,9.21,43.37,1.0,advanced,114.17,7,0.175,0.825,0.557,ACTIVE,ACTIVE
123,16,43.09,49.37,1.0,advanced,100.87,19,0.0,1.0,1.512,SLEEP,SLEEP
123,17,42.58,31.23,1.0,advanced,119.01,13,0.025,0.975,1.0345,SLEEP,SLEEP
